repository_name,month,views,unique_views
embedded-banking,2024-07,1327,182
embedded-banking,2024-08,1961,210
embedded-banking,2024-09,894,202
embedded-banking,2024-10,866,164
embedded-banking,2024-11,557,114
embedded-banking,2024-12,798,146
embedded-banking,2025-01,1473,187
embedded-banking,2025-02,1197,164
embedded-banking,2025-03,1043,190
embedded-banking,2025-04,1670,266
embedded-banking,2025-05,1278,205
embedded-banking,2025-06,1166,220
embedded-banking,2025-07,1839,234
embedded-banking,2025-08,1485,243
embedded-banking,2025-09,1035,257
embedded-banking,2025-10,800,172
embedded-banking,2025-11,1051,207
embedded-banking,2025-12,1715,209
embedded-banking,2026-01,1276,220
