repository_name,date,views,unique_visitors/cloners
embedded-banking,2024-12-17,25,4
embedded-banking,2024-09-17,92,37
embedded-banking,2024-05-06,16,5
embedded-banking,2024-12-30,3,3
embedded-banking,2024-09-30,28,6
embedded-banking,2024-12-18,67,14
embedded-banking,2024-09-18,8,2
embedded-banking,2024-05-07,15,4
embedded-banking,2024-12-31,1,1
embedded-banking,2024-05-20,11,2
embedded-banking,2024-12-19,68,10
embedded-banking,2024-09-19,30,13
embedded-banking,2024-05-08,5,1
embedded-banking,2024-05-21,1,1
embedded-banking,2024-05-09,3,1
embedded-banking,2024-05-22,16,3
embedded-banking,2024-05-23,10,2
embedded-banking,2024-05-24,10,5
embedded-banking,2024-11-10,1,1
embedded-banking,2024-05-25,1,1
embedded-banking,2024-11-11,2,2
embedded-banking,2024-08-11,2,1
embedded-banking,2024-11-12,4,2
embedded-banking,2024-08-12,82,15
embedded-banking,2024-04-01,109,4
embedded-banking,2024-05-27,1,1
embedded-banking,2024-08-13,78,10
embedded-banking,2024-04-02,27,8
embedded-banking,2024-05-28,22,5
embedded-banking,2024-11-13,5,3
embedded-banking,2024-04-03,11,3
embedded-banking,2024-11-14,9,2
embedded-banking,2024-08-14,93,10
embedded-banking,2024-11-15,4,3
embedded-banking,2024-08-15,83,10
embedded-banking,2024-04-04,8,3
embedded-banking,2024-04-05,1,1
embedded-banking,2024-11-16,19,2
embedded-banking,2024-08-16,105,8
embedded-banking,2024-08-17,4,2
embedded-banking,2024-08-30,39,6
embedded-banking,2024-11-18,14,4
embedded-banking,2024-04-07,37,1
embedded-banking,2024-11-19,24,8
embedded-banking,2024-04-08,23,6
embedded-banking,2024-08-19,72,8
embedded-banking,2024-04-22,13,2
embedded-banking,2024-04-09,6,3
embedded-banking,2024-04-23,42,3
embedded-banking,2024-04-24,2,2
embedded-banking,2024-07-10,26,9
embedded-banking,2024-10-10,4,3
embedded-banking,2024-04-25,5,4
embedded-banking,2024-04-26,4,1
embedded-banking,2024-07-11,44,10
embedded-banking,2024-10-11,2,2
embedded-banking,2024-04-27,1,1
embedded-banking,2024-07-12,33,4
embedded-banking,2024-03-01,3,2
embedded-banking,2024-10-12,1,1
embedded-banking,2024-03-02,1,1
embedded-banking,2024-03-03,2,2
embedded-banking,2024-04-29,17,3
embedded-banking,2024-10-14,4,4
embedded-banking,2024-07-15,2,2
embedded-banking,2024-03-04,12,5
embedded-banking,2024-10-15,51,8
embedded-banking,2024-07-16,28,7
embedded-banking,2024-03-05,45,10
